/* DATA DESCRIPTION:
Citation:	Barnet, James S K; Littler, Kate; Westerhold, Thomas; Kroon, Dick; Leng, Melanie J; Bailey, Ian; Röhl, Ursula; Zachos, James C (2019): Late Maastrichtian-early Eocene bulk sediment stable carbon and oxygen isotope records from ODP Site 208-1262, South Atlantic [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.903507, 
	In supplement to: Barnet, JSK et al. (2019): A High-Fidelity Benthic Stable Isotope Record of Late Cretaceous–Early Eocene Climate Change and Carbon-Cycling. Paleoceanography and Paleoclimatology, 34(4), 672-691, https://doi.org/10.1029/2019PA003556
Related to:	Kroon, Dick; Zachos, James C; ODP Leg 208 Shipboard Scientific Party (2007): Leg 208 synthesis: Cenozoic climate cycles and excursions. In: Kroon, D.; Zachos, J.C.; Richter, C. (eds.), Proceedings of the Ocean Drilling Program, 208 Scientific Results, Proceedings of the Ocean Drilling Program, 208, Ocean Drilling Program, 208, 1-55, https://doi.org/10.2973/odp.proc.sr.208.201.2007
	Littler, Kate; Röhl, Ursula; Westerhold, Thomas; Zachos, James C (2014): A high-resolution benthic stable-isotope record for the South Atlantic: Implications for orbital-scale changes in Late Paleocene–Early Eocene climate and carbon cycling. Earth and Planetary Science Letters, 401, 18-30, https://doi.org/10.1016/j.epsl.2014.05.054
	Lourens, Lucas Joost; Sluijs, Appy; Kroon, Dick; Zachos, James C; Thomas, Ellen; Röhl, Ursula; Raffi, Isabella (2005): Astronomical pacing of late Palaeocene to early Eocene global warming events. Nature, 435(23), 1083-1087, https://doi.org/10.1038/nature03814
	Zachos, James C; McCarren, Heather K; Murphy, Brandon; Röhl, Ursula; Westerhold, Thomas (2010): Tempo and scale of late Paleocene and early Eocene carbon isotope cycles: Implications for the origin of hyperthermals. Earth and Planetary Science Letters, 299(1-2), 242-249, https://doi.org/10.1016/j.epsl.2010.09.004
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -27.185833 * LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00
	MINIMUM DEPTH, sediment/rock: 107.49 m * MAXIMUM DEPTH, sediment/rock: 236.07 m
Event(s):	208-1262 * LATITUDE: -27.185833 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00 * ELEVATION: -4755.4 m * Penetration: 583.9 m * Recovery: 502.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 54 cores; 493.9 m cored; 90 m drilled; 101.7 % recovery
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk) * COMMENT: mcd
	δ13C, bulk carbonate [‰ PDB] (δ13C bulk carb) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	δ18O, bulk carbonate [‰ PDB] (δ18O bulk carb) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	AGE [ka BP] (Age) * GEOCODE * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
	Reference/source (Reference) * PI: Barnet, James S K (https://orcid.org/0000-0003-3885-5664, jsb24@st-andrews.ac.uk)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	13088 data points
*/
Depth sed [m]	δ13C bulk carb [‰ PDB]	δ18O bulk carb [‰ PDB]	Age [ka BP]	Reference
109.16	1.083	-0.692	53135	Zachos et al. (2010)
109.19	1.094	-0.631	53142	Zachos et al. (2010)
109.22	1.245	-0.492	53149	Zachos et al. (2010)
109.25	1.253	-0.462	53156	Zachos et al. (2010)
109.28	1.278	-0.442	53163	Zachos et al. (2010)
109.31	1.215	-0.521	53170	Zachos et al. (2010)
109.34	1.187	-0.534	53177	Zachos et al. (2010)
109.37	1.172	-0.590	53184	Zachos et al. (2010)
109.40	1.094	-0.671	53191	Zachos et al. (2010)
109.46	0.925	-0.059	53206	Zachos et al. (2010)
109.49	1.000	-0.642	53213	Zachos et al. (2010)
109.52	1.167	-0.527	53220	Zachos et al. (2010)
109.55	1.278	-0.348	53227	Zachos et al. (2010)
109.58	1.258	-0.259	53234	Zachos et al. (2010)
109.61	1.119	-0.455	53241	Zachos et al. (2010)
109.64	1.124	-0.435	53248	Zachos et al. (2010)
109.67	0.996	-0.758	53255	Zachos et al. (2010)
109.70	0.965	-0.853	53262	Zachos et al. (2010)
109.73	1.016	-0.872	53269	Zachos et al. (2010)
109.76	1.097	-0.811	53276	Zachos et al. (2010)
109.79	1.201	-0.732	53280	Zachos et al. (2010)
109.82	1.135	-0.890	53283	Zachos et al. (2010)
109.85	1.137	-0.687	53286	Zachos et al. (2010)
109.88	1.074	-0.844	53289	Zachos et al. (2010)
109.91	1.186	-0.808	53292	Zachos et al. (2010)
109.94	1.263	-0.748	53296	Zachos et al. (2010)
109.97	1.400	-0.618	53299	Zachos et al. (2010)
110.00	1.399	-0.705	53302	Zachos et al. (2010)
110.03	1.327	-0.601	53305	Zachos et al. (2010)
110.06	1.358	-0.583	53309	Zachos et al. (2010)
110.09	1.456	-0.592	53312	Zachos et al. (2010)
110.12	1.394	-0.497	53315	Zachos et al. (2010)
110.15	1.357	-0.571	53318	Zachos et al. (2010)
110.18	1.311	-0.643	53321	Zachos et al. (2010)
110.21	1.318	-0.711	53325	Zachos et al. (2010)
110.24	1.422	-0.569	53328	Zachos et al. (2010)
110.27	1.382	-0.540	53331	Zachos et al. (2010)
110.30	1.465	-0.483	53334	Zachos et al. (2010)
110.33	1.564	-0.428	53338	Zachos et al. (2010)
110.36	1.538	-0.504	53341	Zachos et al. (2010)
110.39	1.484	-0.506	53344	Zachos et al. (2010)
110.42	1.459	-0.550	53347	Zachos et al. (2010)
110.45	1.410	-0.580	53351	Zachos et al. (2010)
110.48	1.368	-0.620	53354	Zachos et al. (2010)
110.51	1.335	-0.633	53357	Zachos et al. (2010)
110.54	1.324	-0.624	53360	Zachos et al. (2010)
110.57	1.290	-0.654	53363	Zachos et al. (2010)
110.60	1.275	-0.734	53367	Zachos et al. (2010)
110.63	1.291	-0.733	53370	Zachos et al. (2010)
110.66	1.296	-0.738	53373	Zachos et al. (2010)
110.69	1.345	-0.654	53376	Zachos et al. (2010)
110.72	1.456	-0.600	53380	Zachos et al. (2010)
110.75	1.456	-0.609	53383	Zachos et al. (2010)
110.78	1.431	-0.572	53386	Zachos et al. (2010)
110.81	1.393	-0.704	53389	Zachos et al. (2010)
110.84	1.321	-0.750	53392	Zachos et al. (2010)
110.87	1.290	-0.768	53396	Zachos et al. (2010)
110.90	1.375	-0.763	53399	Zachos et al. (2010)
110.93	1.400	-0.713	53402	Zachos et al. (2010)
110.96	1.469	-0.612	53405	Zachos et al. (2010)
110.99	1.428	-0.594	53409	Zachos et al. (2010)
111.02	1.482	-0.629	53412	Zachos et al. (2010)
111.05	1.509	-0.504	53415	Zachos et al. (2010)
111.08	1.500	-0.447	53418	Zachos et al. (2010)
111.11	1.473	-0.494	53421	Zachos et al. (2010)
111.14	1.436	-0.466	53425	Zachos et al. (2010)
111.17	1.417	-0.531	53428	Zachos et al. (2010)
111.20	1.433	-0.526	53431	Zachos et al. (2010)
111.26	1.559	-0.681	53438	Zachos et al. (2010)
111.29	1.599	-0.641	53441	Zachos et al. (2010)
111.32	1.598	-0.649	53444	Zachos et al. (2010)
111.35	1.402	-1.011	53447	Zachos et al. (2010)
111.38	1.608	-0.700	53451	Zachos et al. (2010)
111.41	1.618	-0.723	53454	Zachos et al. (2010)
111.44	1.598	-0.688	53457	Zachos et al. (2010)
111.47	1.586	-0.737	53460	Zachos et al. (2010)
111.50	1.603	-0.771	53463	Zachos et al. (2010)
111.53	1.491	-0.760	53467	Zachos et al. (2010)
111.56	1.495	-0.797	53470	Zachos et al. (2010)
111.59	1.500	-0.822	53473	Zachos et al. (2010)
111.62	1.535	-0.759	53476	Zachos et al. (2010)
111.65	1.551	-0.758	53480	Zachos et al. (2010)
111.68	1.528	-0.803	53483	Zachos et al. (2010)
111.71	1.538	-0.816	53486	Zachos et al. (2010)
111.74	1.531	-0.831	53489	Zachos et al. (2010)
111.77	1.524	-0.730	53492	Zachos et al. (2010)
111.80	1.541	-0.693	53496	Zachos et al. (2010)
111.83	1.569	-0.728	53499	Zachos et al. (2010)
111.86	1.543	-0.754	53502	Zachos et al. (2010)
111.89	1.456	-0.671	53505	Zachos et al. (2010)
111.92	1.528	-0.735	53509	Zachos et al. (2010)
111.95	1.481	-0.783	53512	Zachos et al. (2010)
111.98	1.461	-0.789	53515	Zachos et al. (2010)
112.01	1.255	-1.165	53518	Zachos et al. (2010)
112.04	1.463	-0.850	53522	Zachos et al. (2010)
112.07	1.462	-0.799	53525	Zachos et al. (2010)
112.10	1.480	-0.834	53528	Zachos et al. (2010)
112.13	1.500	-0.896	53531	Zachos et al. (2010)
112.16	1.531	-0.398	53534	Zachos et al. (2010)
112.19	1.526	-0.391	53538	Zachos et al. (2010)
112.22	1.538	-0.373	53541	Zachos et al. (2010)
112.25	1.506	-0.465	53544	Zachos et al. (2010)
112.28	1.431	-0.399	53547	Zachos et al. (2010)
112.31	1.372	-0.398	53551	Zachos et al. (2010)
112.32	1.220	-0.399	53552	Zachos et al. (2010)
112.34	1.322	-0.468	53554	Zachos et al. (2010)
112.35	1.182	-0.450	53555	Zachos et al. (2010)
112.37	1.296	-0.549	53557	Zachos et al. (2010)
112.38	1.103	-0.642	53558	Zachos et al. (2010)
112.40	1.105	-0.854	53560	Zachos et al. (2010)
112.41	1.108	-0.630	53561	Zachos et al. (2010)
112.43	1.109	-0.699	53563	Zachos et al. (2010)
112.44	0.959	-0.767	53565	Zachos et al. (2010)
112.46	1.081	-0.827	53567	Zachos et al. (2010)
112.47	0.954	-0.829	53568	Zachos et al. (2010)
112.49	1.109	-0.773	53570	Zachos et al. (2010)
112.50	1.164	-0.615	53571	Zachos et al. (2010)
112.52	1.377	-0.540	53573	Zachos et al. (2010)
112.53	1.221	-0.397	53574	Zachos et al. (2010)
112.56	1.290	-0.319	53578	Zachos et al. (2010)
112.59	1.212	-0.472	53581	Zachos et al. (2010)
112.62	1.165	-0.537	53584	Zachos et al. (2010)
112.65	1.169	-0.536	53588	Zachos et al. (2010)
112.68	1.176	-0.728	53591	Zachos et al. (2010)
112.71	1.254	-0.478	53594	Zachos et al. (2010)
112.74	1.286	-0.553	53597	Zachos et al. (2010)
112.77	1.336	-0.527	53600	Zachos et al. (2010)
112.80	1.434	-0.355	53604	Zachos et al. (2010)
112.83	1.494	-0.326	53607	Zachos et al. (2010)
112.86	1.558	-0.297	53610	Zachos et al. (2010)
112.89	1.556	-0.246	53613	Zachos et al. (2010)
112.92	1.503	-0.229	53617	Zachos et al. (2010)
112.95	1.506	-0.286	53620	Zachos et al. (2010)
112.98	1.467	-0.264	53623	Zachos et al. (2010)
113.01	1.442	-0.278	53626	Zachos et al. (2010)
113.04	1.358	-0.468	53629	Zachos et al. (2010)
113.07	1.491	-0.247	53633	Zachos et al. (2010)
113.10	1.441	-0.223	53636	Zachos et al. (2010)
113.13	1.445	-0.285	53639	Zachos et al. (2010)
113.16	1.430	-0.255	53642	Zachos et al. (2010)
113.19	1.429	-0.114	53646	Zachos et al. (2010)
113.22	1.310	-0.282	53649	Zachos et al. (2010)
113.25	1.323	-0.347	53652	Zachos et al. (2010)
113.31	1.147	-0.447	53658	Zachos et al. (2010)
113.34	1.029	-0.699	53662	Zachos et al. (2010)
113.37	0.931	-0.830	53665	Zachos et al. (2010)
113.40	0.844	-0.924	53668	Zachos et al. (2010)
113.43	0.851	-0.809	53671	Zachos et al. (2010)
113.46	1.150	-0.650	53674	Zachos et al. (2010)
113.49	0.931	-0.727	53678	Zachos et al. (2010)
113.52	1.082	-0.690	53681	Zachos et al. (2010)
113.55	1.122	-0.655	53684	Zachos et al. (2010)
113.58	1.231	-0.730	53684	Zachos et al. (2010)
113.61	1.406	-0.459	53690	Zachos et al. (2010)
113.64	1.415	-0.413	53693	Zachos et al. (2010)
113.67	1.496	-0.467	53696	Zachos et al. (2010)
113.70	1.558	-0.436	53699	Zachos et al. (2010)
113.73	1.526	-0.407	53702	Zachos et al. (2010)
113.76	1.541	-0.451	53706	Zachos et al. (2010)
113.79	1.587	-0.322	53709	Zachos et al. (2010)
113.82	1.542	-0.291	53712	Zachos et al. (2010)
113.85	1.524	-0.308	53715	Zachos et al. (2010)
113.88	1.510	-0.364	53718	Zachos et al. (2010)
113.91	1.473	-0.444	53721	Zachos et al. (2010)
113.94	1.516	-0.375	53724	Zachos et al. (2010)
113.97	1.518	-0.464	53727	Zachos et al. (2010)
114.00	1.575	-0.338	53730	Zachos et al. (2010)
114.03	1.544	-0.423	53733	Zachos et al. (2010)
114.06	1.585	-0.366	53737	Zachos et al. (2010)
114.09	1.586	-0.374	53740	Zachos et al. (2010)
114.12	1.589	-0.405	53743	Zachos et al. (2010)
114.15	1.541	-0.432	53746	Zachos et al. (2010)
114.18	1.476	-0.472	53749	Zachos et al. (2010)
114.21	1.448	-0.490	53752	Zachos et al. (2010)
114.24	1.482	-0.443	53755	Zachos et al. (2010)
114.27	1.521	-0.378	53758	Zachos et al. (2010)
114.30	1.521	-0.403	53761	Zachos et al. (2010)
114.33	1.495	-0.467	53764	Zachos et al. (2010)
114.36	1.429	-0.576	53768	Zachos et al. (2010)
114.39	1.402	-0.577	53771	Zachos et al. (2010)
114.42	1.423	-0.655	53774	Zachos et al. (2010)
114.45	1.450	-0.570	53777	Zachos et al. (2010)
114.48	1.587	-0.390	53780	Zachos et al. (2010)
114.51	1.567	-0.396	53783	Zachos et al. (2010)
114.54	1.626	-0.347	53786	Zachos et al. (2010)
114.57	1.577	-0.394	53789	Zachos et al. (2010)
114.60	1.558	-0.391	53792	Zachos et al. (2010)
114.63	1.589	-0.365	53796	Zachos et al. (2010)
114.66	1.575	-0.293	53799	Zachos et al. (2010)
114.69	1.566	-0.197	53802	Zachos et al. (2010)
114.72	1.579	-0.269	53805	Zachos et al. (2010)
114.75	1.573	-0.267	53808	Zachos et al. (2010)
114.78	1.532	-0.343	53811	Zachos et al. (2010)
114.81	1.546	-0.351	53814	Zachos et al. (2010)
114.84	1.449	-0.393	53817	Zachos et al. (2010)
114.87	1.456	-0.402	53820	Zachos et al. (2010)
114.90	1.548	-0.375	53823	Zachos et al. (2010)
114.93	1.663	-0.226	53827	Zachos et al. (2010)
114.96	1.594	-0.258	53830	Zachos et al. (2010)
114.99	1.564	-0.357	53833	Zachos et al. (2010)
115.02	1.519	-0.262	53836	Zachos et al. (2010)
115.05	1.532	-0.315	53839	Zachos et al. (2010)
115.08	1.518	-0.414	53842	Zachos et al. (2010)
115.11	1.581	-0.328	53845	Zachos et al. (2010)
115.14	1.477	-0.414	53848	Zachos et al. (2010)
115.17	1.452	-0.497	53851	Zachos et al. (2010)
115.20	1.451	-0.475	53854	Zachos et al. (2010)
115.23	1.401	-0.537	53858	Zachos et al. (2010)
115.26	1.422	-0.566	53861	Zachos et al. (2010)
115.29	1.605	-0.263	53864	Zachos et al. (2010)
115.32	1.668	-0.067	53867	Zachos et al. (2010)
115.35	1.623	-0.301	53870	Zachos et al. (2010)
115.38	1.593	-0.325	53873	Zachos et al. (2010)
115.41	1.540	-0.371	53876	Zachos et al. (2010)
115.44	1.474	-0.462	53879	Zachos et al. (2010)
115.47	1.554	-0.409	53882	Zachos et al. (2010)
115.50	1.609	-0.190	53886	Zachos et al. (2010)
115.59	1.528	-0.331	53895	Zachos et al. (2010)
115.65	1.442	-0.361	53901	Zachos et al. (2010)
115.71	1.425	-0.385	53907	Zachos et al. (2010)
115.74	1.457	-0.288	53910	Zachos et al. (2010)
115.77	1.462	-0.308	53913	Zachos et al. (2010)
115.80	1.467	-0.327	53917	Zachos et al. (2010)
115.83	1.477	-0.422	53920	Zachos et al. (2010)
115.86	1.565	-0.372	53923	Zachos et al. (2010)
115.89	1.589	-0.460	53926	Zachos et al. (2010)
115.92	1.651	-0.371	53926	Zachos et al. (2010)
115.95	1.451	-0.382	53932	Zachos et al. (2010)
115.98	1.418	-0.320	53935	Zachos et al. (2010)
116.01	1.397	-0.318	53938	Zachos et al. (2010)
116.04	1.267	-0.425	53941	Zachos et al. (2010)
116.07	1.279	-0.418	53945	Zachos et al. (2010)
116.10	1.168	-0.617	53948	Zachos et al. (2010)
116.13	1.041	-0.864	53950	Zachos et al. (2010)
116.16	1.140	-0.795	53953	Zachos et al. (2010)
116.19	0.972	-0.971	53956	Zachos et al. (2010)
116.22	0.883	-0.930	53958	Zachos et al. (2010)
116.25	0.930	-0.937	53961	Zachos et al. (2010)
116.31	1.130	-0.845	53966	Zachos et al. (2010)
116.34	1.168	-0.657	53968	Zachos et al. (2010)
116.37	1.124	-0.822	53971	Zachos et al. (2010)
116.40	1.305	-0.729	53973	Zachos et al. (2010)
116.43	1.343	-0.700	53976	Zachos et al. (2010)
116.46	1.458	-0.362	53978	Zachos et al. (2010)
116.49	1.463	-0.397	53981	Zachos et al. (2010)
116.52	1.425	-0.308	53983	Zachos et al. (2010)
116.55	1.316	-0.507	53986	Zachos et al. (2010)
116.58	1.396	-0.370	53990	Zachos et al. (2010)
116.61	1.326	-0.519	53993	Zachos et al. (2010)
116.64	1.347	-0.462	53997	Zachos et al. (2010)
116.66	1.384	-0.499	53999	Lourens et al. (2005)
116.67	1.403	-0.504	54000	Lourens et al. (2005)
116.68	1.374	-0.448	54001	Lourens et al. (2005)
116.69	1.430	-0.493	54002	Lourens et al. (2005)
116.70	1.440	-0.472	54003	Lourens et al. (2005)
116.71	1.473	-0.444	54005	Lourens et al. (2005)
116.72	1.399	-0.481	54006	Lourens et al. (2005)
116.73	1.432	-0.432	54007	Lourens et al. (2005)
116.74	1.444	-0.421	54008	Lourens et al. (2005)
116.75	1.445	-0.401	54009	Lourens et al. (2005)
116.76	1.465	-0.375	54010	Lourens et al. (2005)
116.77	1.438	-0.464	54011	Lourens et al. (2005)
116.78	1.436	-0.454	54013	Lourens et al. (2005)
116.79	1.449	-0.367	54014	Lourens et al. (2005)
116.80	1.434	-0.372	54015	Lourens et al. (2005)
116.81	1.370	-0.505	54016	Lourens et al. (2005)
116.82	1.410	-0.227	54017	Lourens et al. (2005)
116.83	1.413	-0.362	54018	Lourens et al. (2005)
116.84	1.410	-0.346	54019	Lourens et al. (2005)
116.85	1.413	-0.413	54020	Lourens et al. (2005)
116.86	1.394	-0.368	54021	Lourens et al. (2005)
116.87	1.361	-0.373	54022	Lourens et al. (2005)
116.88	1.349	-0.407	54023	Lourens et al. (2005)
116.89	1.295	-0.384	54024	Lourens et al. (2005)
116.90	1.289	-0.394	54025	Lourens et al. (2005)
116.91	1.273	-0.428	54026	Lourens et al. (2005)
116.92	1.277	-0.414	54028	Lourens et al. (2005)
116.93	1.257	-0.385	54029	Lourens et al. (2005)
116.94	1.228	-0.431	54030	Lourens et al. (2005)
116.95	1.191	-0.465	54031	Lourens et al. (2005)
116.96	1.207	-0.473	54032	Lourens et al. (2005)
116.97	1.178	-0.473	54033	Lourens et al. (2005)
116.98	1.119	-0.557	54034	Lourens et al. (2005)
116.99	1.083	-0.502	54035	Lourens et al. (2005)
117.00	1.052	-0.598	54036	Lourens et al. (2005)
117.01	1.055	-0.636	54037	Lourens et al. (2005)
117.02	1.034	-0.744	54038	Lourens et al. (2005)
117.03	0.950	-0.843	54039	Lourens et al. (2005)
117.04	0.971	-0.785	54040	Lourens et al. (2005)
117.05	0.899	-0.854	54041	Lourens et al. (2005)
117.06	0.913	-0.919	54042	Lourens et al. (2005)
