/* DATA DESCRIPTION:
Citation:	Zachos, James C; McCarren, Heather K; Murphy, Brandon; Röhl, Ursula; Westerhold, Thomas (2010): (Figure 2) Stable carbon and oxygen isotope records of ODP Site 208-1262 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.756583, 
	Supplement to: Zachos, JC et al. (2010): Tempo and scale of late Paleocene and early Eocene carbon isotope cycles: Implications for the origin of hyperthermals. Earth and Planetary Science Letters, 299(1-2), 242-249, https://doi.org/10.1016/j.epsl.2010.09.004
Abstract:	The upper Paleocene and lower Eocene are marked by several prominent (> 1 per mill) carbon isotope (d13C) excursions (CIE) that coincide with transient global warmings, or thermal maxima, including the Paleocene-Eocene Thermal Maximum (PETM). The CIE, which are recorded mainly in marine sedimentary sequences, have also been identified in continental sequences, occurred episodically, and yet appear to be paced or triggered by orbital forcing. To constrain the timing and scale of the CIE relative to long-term baseline variability, we have constructed a 4.52 million year (myr) long, high-resolution (~ 3 kyr) bulk sediment carbon isotope record spanning the lower Eocene to upper Paleocene (C25r-C24n) from a pelagic sediment section recovered at ODP Site 1262 in the southeast Atlantic. This section, which was orbitally-tuned utilizing high-resolution core log physical property and geochemical records, is the most stratigraphically complete upper Paleocene to lower Eocene sequence recovered to date. Time-series analysis of the carbon isotope record along with a high-resolution Fe intensity record obtained by XRF core scanner reveal cyclicity with variance concentrated primarily in the precession (21 kyr) and eccentricity bands (100 and 400-kyr) throughout the upper Paleocene-lower Eocene. In general, minima in d13C correspond with peaks in Fe (i.e., carbonate dissolution), both of which appear to be in phase with maxima in eccentricity. This covariance is consistent with excess oceanic uptake of isotopically depleted carbon resulting in lower carbonate saturation during periods of high eccentricity. This relationship includes all late Paleocene and early Eocene CIE confirming pacing by orbital forcing. The lone exception is the PETM, which appears to be out of phase with the 400-kyr cycle, though possibly in phase with the 100-kyr cycle, reinforcing the notion that a mechanism other than orbital forcing and/or an additional source of carbon is required to account for the occurrence and unusual scale of this event.
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: https://www.marum.de/en/)
	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -27.185833 * LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00
	MINIMUM DEPTH, sediment/rock: 96.27 m * MAXIMUM DEPTH, sediment/rock: 142.65 m
Event(s):	208-1262 * LATITUDE: -27.185833 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00 * ELEVATION: -4755.4 m * Penetration: 583.9 m * Recovery: 502.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 54 cores; 493.9 m cored; 90 m drilled; 101.7 % recovery
Comment:	The isotope records are composites of the splice from the A and B holes of Site 1262, and include published data for the PETM and ETM-2 (Lourens et al., 2005; Zachos et al., 2005).
	See also Westerhold et al. (2007) doi:10.1594/PANGAEA.603177
	Depth, sediment are meters below seafloor (mbsf)
Parameter(s):	Sample code/label (Sample label) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: Intercore correlation
	Age, relative [ka] (Age rel) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu)
	Comment (Comment) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * COMMENT: Hole
	δ13C, carbonate [‰ PDB] (δ13C carb) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: Mass spectrometry (MS)
	δ18O, carbonate [‰ PDB] (δ18O carb) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: Mass spectrometry (MS)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10864 data points
*/
Sample label	Depth sed [m]	Depth comp [mcd]	Age rel [ka]	Comment	δ13C carb [‰ PDB]	δ18O carb [‰ PDB]
208-1262B-12H-3,43-44	99.33	109.97	2631	B	1.40	-0.62
208-1262B-12H-3,46-47	99.36	110.00	2627	B	1.40	-0.70
208-1262B-12H-3,49-50	99.39	110.03	2622	B	1.33	-0.60
208-1262B-12H-3,52-53	99.42	110.06	2618	B	1.36	-0.58
208-1262B-12H-3,55-56	99.45	110.09	2614	B	1.46	-0.59
208-1262B-12H-3,58-59	99.48	110.12	2609	B	1.39	-0.50
208-1262B-12H-3,61-62	99.51	110.15	2606	B	1.36	-0.57
208-1262B-12H-3,64-65	99.54	110.18	2602	B	1.31	-0.64
208-1262B-12H-3,67-68	99.57	110.21	2599	B	1.32	-0.71
208-1262B-12H-3,70-71	99.60	110.24	2596	B	1.42	-0.57
208-1262B-12H-3,73-74	99.63	110.27	2593	B	1.38	-0.54
208-1262B-12H-3,76-77	99.66	110.30	2590	B	1.46	-0.48
208-1262B-12H-3,79-80	99.69	110.33	2587	B	1.56	-0.43
208-1262B-12H-3,82-83	99.72	110.36	2584	B	1.54	-0.50
208-1262B-12H-3,85-86	99.75	110.39	2580	B	1.48	-0.51
208-1262B-12H-3,88-89	99.78	110.42	2577	B	1.46	-0.55
208-1262B-12H-3,91-92	99.81	110.45	2574	B	1.41	-0.58
208-1262B-12H-3,94-95	99.84	110.48	2571	B	1.37	-0.62
208-1262B-12H-3,97-98	99.87	110.51	2568	B	1.34	-0.63
208-1262B-12H-3,100-101	99.90	110.54	2566	B	1.32	-0.62
208-1262B-12H-3,103-104	99.93	110.57	2563	B	1.29	-0.65
208-1262B-12H-3,106-107	99.96	110.60	2560	B	1.28	-0.73
208-1262B-12H-3,109-110	99.99	110.63	2558	B	1.29	-0.73
208-1262B-12H-3,112-113	100.02	110.66	2555	B	1.30	-0.74
208-1262B-12H-3,115-116	100.05	110.69	2552	B	1.34	-0.65
208-1262B-12H-3,118-119	100.08	110.72	2550	B	1.46	-0.60
208-1262B-12H-3,121-122	100.11	110.75	2547	B	1.46	-0.61
208-1262B-12H-3,124-125	100.14	110.78	2544	B	1.43	-0.57
208-1262B-12H-3,127-128	100.17	110.81	2542	B	1.39	-0.70
208-1262B-12H-3,130-131	100.20	110.84	2540	B	1.32	-0.75
208-1262B-12H-3,133-134	100.23	110.87	2538	B	1.29	-0.77
208-1262B-12H-3,136-137	100.26	110.90	2536	B	1.38	-0.76
208-1262B-12H-3,139-140	100.29	110.93	2534	B	1.40	-0.71
208-1262B-12H-3,142-143	100.32	110.96	2531	B	1.47	-0.61
208-1262B-12H-3,145-146	100.35	110.99	2529	B	1.43	-0.59
208-1262B-12H-3,148-149	100.38	111.02	2527	B	1.48	-0.63
208-1262B-12H-4,1-2	100.41	111.05	2525	B	1.51	-0.50
208-1262B-12H-4,4-5	100.44	111.08	2523	B	1.50	-0.45
208-1262B-12H-4,7-8	100.47	111.11	2520	B	1.47	-0.49
208-1262B-12H-4,10-11	100.50	111.14	2517	B	1.44	-0.47
208-1262B-12H-4,13-14	100.53	111.17	2514	B	1.42	-0.53
208-1262B-12H-4,16-17	100.56	111.20	2511	B	1.43	-0.53
208-1262B-12H-4,22-23	100.62	111.26	2505	B	1.56	-0.68
208-1262B-12H-4,25-26	100.65	111.29	2502	B	1.60	-0.64
208-1262B-12H-4,28-29	100.68	111.32	2499	B	1.60	-0.65
208-1262B-12H-4,31-32	100.71	111.35	2496	B	1.40	-1.01
208-1262B-12H-4,34-35	100.74	111.38	2493	B	1.61	-0.70
208-1262B-12H-4,37-38	100.77	111.41	2490	B	1.62	-0.72
208-1262B-12H-4,40-41	100.80	111.44	2486	B	1.60	-0.69
208-1262B-12H-4,43-44	100.83	111.47	2483	B	1.59	-0.74
208-1262B-12H-4,46-47	100.86	111.50	2480	B	1.60	-0.77
208-1262B-12H-4,49-50	100.89	111.53	2477	B	1.49	-0.76
208-1262B-12H-4,52-53	100.92	111.56	2474	B	1.50	-0.80
208-1262B-12H-4,55-56	100.95	111.59	2471	B	1.50	-0.82
208-1262B-12H-4,58-59	100.98	111.62	2467	B	1.54	-0.76
208-1262B-12H-4,61-62	101.01	111.65	2464	B	1.55	-0.76
208-1262B-12H-4,64-65	101.04	111.68	2461	B	1.53	-0.80
208-1262B-12H-4,67-68	101.07	111.71	2458	B	1.54	-0.82
208-1262B-12H-4,70-71	101.10	111.74	2454	B	1.53	-0.83
208-1262B-12H-4,73-74	101.13	111.77	2451	B	1.52	-0.73
208-1262B-12H-4,76-77	101.16	111.80	2447	B	1.54	-0.69
208-1262B-12H-4,79-80	101.19	111.83	2444	B	1.57	-0.73
208-1262B-12H-4,82-83	101.22	111.86	2440	B	1.54	-0.75
208-1262B-12H-4,85-86	101.25	111.89	2438	B	1.46	-0.67
208-1262B-12H-4,88-89	101.28	111.92	2435	B	1.53	-0.74
208-1262B-12H-4,91-92	101.31	111.95	2433	B	1.48	-0.78
208-1262B-12H-4,94-95	101.34	111.98	2430	B	1.46	-0.79
208-1262B-12H-4,97-98	101.37	112.01	2428	B	1.26	-1.16
208-1262B-12H-4,100-101	101.40	112.04	2426	B	1.46	-0.85
208-1262B-12H-4,103-104	101.43	112.07	2423	B	1.46	-0.80
208-1262B-12H-4,106-107	101.46	112.10	2421	B	1.48	-0.83
208-1262B-12H-4,109-110	101.49	112.13	2419	B	1.50	-0.90
208-1262B-12H-4,112-113	101.52	112.16	2417	B	1.53	-0.40
208-1262B-12H-4,115-116	101.55	112.19	2415	B	1.53	-0.39
208-1262B-12H-4,118-119	101.58	112.22	2412	B	1.54	-0.37
208-1262B-12H-4,121-122	101.61	112.25	2410	B	1.51	-0.46
208-1262B-12H-4,124-125	101.64	112.28	2408	B	1.43	-0.40
208-1262B-12H-4,127-128	101.67	112.31	2406	B	1.37	-0.40
208-1262A-11H-1,127-128	96.27	112.32	2405	A	1.22	-0.40
208-1262B-12H-4,130-131	101.70	112.34	2404	B	1.32	-0.47
208-1262A-11H-1,130-131	96.30	112.35	2403	A	1.18	-0.45
208-1262B-12H-4,133-134	101.73	112.37	2402	B	1.30	-0.55
208-1262A-11H-1,133-134	96.33	112.38	2401	A	1.10	-0.64
208-1262B-12H-4,136-137	101.76	112.40	2399	B	1.10	-0.85
208-1262A-11H-1,136-137	96.36	112.41	2399	A	1.11	-0.63
208-1262B-12H-4,139-140	101.79	112.43	2397	B	1.11	-0.70
208-1262A-11H-1,139-140	96.39	112.44	2395	A	0.96	-0.77
208-1262B-12H-4,142-143	101.82	112.46	2392	B	1.08	-0.83
208-1262A-11H-1,142-143	96.42	112.47	2391	A	0.95	-0.83
208-1262B-12H-4,145-146	101.85	112.49	2388	B	1.11	-0.77
208-1262A-11H-1,145-146	96.45	112.50	2386	A	1.16	-0.62
208-1262B-12H-4,148-149	101.88	112.52	2383	B	1.38	-0.54
208-1262A-11H-1,148-149	96.48	112.53	2381	A	1.22	-0.40
208-1262A-11H-2,1-2	96.51	112.56	2377	A	1.29	-0.32
208-1262A-11H-2,4-5	96.54	112.59	2373	A	1.21	-0.47
208-1262A-11H-2,7-8	96.57	112.62	2369	A	1.16	-0.54
208-1262A-11H-2,10-11	96.60	112.65	2366	A	1.17	-0.54
208-1262A-11H-2,13-14	96.63	112.68	2362	A	1.18	-0.73
208-1262A-11H-2,16-17	96.66	112.71	2359	A	1.25	-0.48
208-1262A-11H-2,19-20	96.69	112.74	2356	A	1.29	-0.55
208-1262A-11H-2,22-23	96.72	112.77	2353	A	1.34	-0.53
208-1262A-11H-2,25-26	96.75	112.80	2349	A	1.43	-0.36
208-1262A-11H-2,28-29	96.78	112.83	2346	A	1.49	-0.33
208-1262A-11H-2,31-32	96.81	112.86	2343	A	1.56	-0.30
208-1262A-11H-2,34-35	96.84	112.89	2339	A	1.56	-0.25
208-1262A-11H-2,37-38	96.87	112.92	2336	A	1.50	-0.23
208-1262A-11H-2,40-41	96.90	112.95	2333	A	1.51	-0.29
208-1262A-11H-2,43-44	96.93	112.98	2329	A	1.47	-0.26
208-1262A-11H-2,46-47	96.96	113.01	2326	A	1.44	-0.28
208-1262A-11H-2,49-50	96.99	113.04	2323	A	1.36	-0.47
208-1262A-11H-2,52-53	97.02	113.07	2319	A	1.49	-0.25
208-1262A-11H-2,55-56	97.05	113.10	2316	A	1.44	-0.22
208-1262A-11H-2,58-59	97.08	113.13	2312	A	1.44	-0.28
208-1262A-11H-2,61-62	97.11	113.16	2309	A	1.43	-0.26
208-1262A-11H-2,64-65	97.14	113.19	2305	A	1.43	-0.11
208-1262A-11H-2,67-68	97.17	113.22	2301	A	1.31	-0.28
208-1262A-11H-2,70-71	97.20	113.25	2298	A	1.32	-0.35
208-1262A-11H-2,76-77	97.26	113.31	2290	A	1.15	-0.45
208-1262A-11H-2,79-80	97.29	113.34	2285	A	1.03	-0.70
208-1262A-11H-2,82-83	97.32	113.37	2280	A	0.93	-0.83
208-1262A-11H-2,85-86	97.35	113.40	2275	A	0.84	-0.92
208-1262A-11H-2,88-89	97.38	113.43	2270	A	0.85	-0.81
208-1262A-11H-2,91-92	97.41	113.46	2263	A	1.15	-0.65
208-1262A-11H-2,94-95	97.44	113.49	2257	A	0.93	-0.73
208-1262A-11H-2,97-98	97.47	113.52	2250	A	1.08	-0.69
208-1262A-11H-2,100-101	97.50	113.55	2247	A	1.12	-0.66
208-1262A-11H-2,103-104	97.53	113.58	2244	A	1.23	-0.73
208-1262A-11H-2,106-107	97.56	113.61	2240	A	1.41	-0.46
208-1262A-11H-2,109-110	97.59	113.64	2237	A	1.42	-0.41
208-1262A-11H-2,112-113	97.62	113.67	2234	A	1.50	-0.47
208-1262A-11H-2,115-116	97.65	113.70	2231	A	1.56	-0.44
208-1262A-11H-2,118-119	97.68	113.73	2228	A	1.53	-0.41
208-1262A-11H-2,121-122	97.71	113.76	2224	A	1.54	-0.45
208-1262A-11H-2,124-125	97.74	113.79	2221	A	1.59	-0.32
208-1262A-11H-2,127-128	97.77	113.82	2218	A	1.54	-0.29
208-1262A-11H-2,130-131	97.80	113.85	2215	A	1.52	-0.31
208-1262A-11H-2,133-134	97.83	113.88	2212	A	1.51	-0.36
208-1262A-11H-2,136-137	97.86	113.91	2209	A	1.47	-0.44
208-1262A-11H-2,139-140	97.89	113.94	2206	A	1.52	-0.38
208-1262A-11H-2,142-143	97.92	113.97	2202	A	1.52	-0.46
208-1262A-11H-2,145-146	97.95	114.00	2199	A	1.58	-0.34
208-1262A-11H-2,148-149	97.98	114.03	2195	A	1.54	-0.42
208-1262A-11H-3,1-2	98.01	114.06	2192	A	1.58	-0.37
208-1262A-11H-3,4-5	98.04	114.09	2189	A	1.59	-0.37
208-1262A-11H-3,7-8	98.07	114.12	2186	A	1.59	-0.40
208-1262A-11H-3,10-11	98.10	114.15	2183	A	1.54	-0.43
208-1262A-11H-3,13-14	98.13	114.18	2180	A	1.48	-0.47
208-1262A-11H-3,16-17	98.16	114.21	2177	A	1.45	-0.49
208-1262A-11H-3,19-20	98.19	114.24	2174	A	1.48	-0.44
208-1262A-11H-3,22-23	98.22	114.27	2171	A	1.52	-0.38
208-1262A-11H-3,25-26	98.25	114.30	2169	A	1.52	-0.40
208-1262A-11H-3,28-29	98.28	114.33	2166	A	1.50	-0.47
208-1262A-11H-3,31-32	98.31	114.36	2163	A	1.43	-0.58
208-1262A-11H-3,34-35	98.34	114.39	2160	A	1.40	-0.58
208-1262A-11H-3,37-38	98.37	114.42	2157	A	1.42	-0.66
208-1262A-11H-3,40-41	98.40	114.45	2154	A	1.45	-0.57
208-1262A-11H-3,43-44	98.43	114.48	2151	A	1.59	-0.39
208-1262A-11H-3,46-47	98.46	114.51	2148	A	1.57	-0.40
208-1262A-11H-3,49-50	98.49	114.54	2145	A	1.63	-0.35
208-1262A-11H-3,52-53	98.52	114.57	2142	A	1.58	-0.39
208-1262A-11H-3,55-56	98.55	114.60	2139	A	1.56	-0.39
208-1262A-11H-3,58-59	98.58	114.63	2136	A	1.59	-0.36
208-1262A-11H-3,61-62	98.61	114.66	2132	A	1.58	-0.29
208-1262A-11H-3,65-66	98.64	114.69	2129	A	1.57	-0.20
208-1262A-11H-3,67-68	98.67	114.72	2126	A	1.58	-0.27
208-1262A-11H-3,70-71	98.70	114.75	2123	A	1.57	-0.27
208-1262A-11H-3,73-74	98.73	114.78	2120	A	1.53	-0.34
208-1262A-11H-3,76-77	98.76	114.81	2117	A	1.55	-0.35
208-1262A-11H-3,79-80	98.79	114.84	2114	A	1.45	-0.39
208-1262A-11H-3,82-83	98.82	114.87	2111	A	1.46	-0.40
208-1262A-11H-3,85-86	98.85	114.90	2108	A	1.55	-0.38
208-1262A-11H-3,88-89	98.88	114.93	2105	A	1.66	-0.23
208-1262A-11H-3,91-92	98.91	114.96	2102	A	1.59	-0.26
208-1262A-11H-3,94-95	98.94	114.99	2100	A	1.56	-0.36
208-1262A-11H-3,97-98	98.97	115.02	2097	A	1.52	-0.26
208-1262A-11H-3,100-101	99.00	115.05	2094	A	1.53	-0.32
208-1262A-11H-3,103-104	99.03	115.08	2091	A	1.52	-0.41
208-1262A-11H-3,106-107	99.06	115.11	2088	A	1.58	-0.33
208-1262A-11H-3,109-110	99.09	115.14	2086	A	1.48	-0.41
208-1262A-11H-3,112-113	99.12	115.17	2083	A	1.45	-0.50
208-1262A-11H-3,115-116	99.15	115.20	2076	A	1.45	-0.48
208-1262A-11H-3,118-119	99.18	115.23	2068	A	1.40	-0.54
208-1262A-11H-3,121-122	99.21	115.26	2059	A	1.42	-0.57
208-1262A-11H-3,124-125	99.24	115.29	2051	A	1.60	-0.26
208-1262A-11H-3,127-128	99.27	115.32	2043	A	1.67	-0.07
208-1262A-11H-3,130-131	99.30	115.35	2038	A	1.62	-0.30
208-1262A-11H-3,133-134	99.33	115.38	2034	A	1.59	-0.32
208-1262A-11H-3,136-137	99.36	115.41	2030	A	1.54	-0.37
