/* DATA DESCRIPTION:
Citation:	Littler, Kate; Röhl, Ursula; Westerhold, Thomas; Zachos, James C (2014): Bulk stable-isotope measurements of ODP Site 208-1262 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.833212, 
	In supplement to: Littler, K et al. (2014): A high-resolution benthic stable-isotope record for the South Atlantic: Implications for orbital-scale changes in Late Paleocene–Early Eocene climate and carbon cycling. Earth and Planetary Science Letters, 401, 18-30, https://doi.org/10.1016/j.epsl.2014.05.054
Further details:	Lourens, Lucas Joost; Sluijs, Appy; Kroon, Dick; Zachos, James C; Thomas, Ellen; Röhl, Ursula; Raffi, Isabella (2005): Astronomical pacing of late Palaeocene to early Eocene global warming events. Nature, 435(23), 1083-1087, https://doi.org/10.1038/nature03814
	Westerhold, Thomas; Röhl, Ursula; Raffi, Isabella; Fornaciari, Eliana; Monechi, Simonetta; Reale, Viviana; Bowles, Julie; Evans, Helen F (2008): Astronomical calibration of the Paleocene time. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(4), 377-403, https://doi.org/10.1016/j.palaeo.2007.09.016
	Zachos, James C; McCarren, Heather K; Murphy, Brandon; Röhl, Ursula; Westerhold, Thomas (2010): Tempo and scale of late Paleocene and early Eocene carbon isotope cycles: Implications for the origin of hyperthermals. Earth and Planetary Science Letters, 299(1-2), 242-249, https://doi.org/10.1016/j.epsl.2010.09.004
	Zachos, James C; Röhl, Ursula; Schellenberg, Stephen A; Sluijs, Appy; Hodell, David A; Kelly, Daniel Clay; Thomas, Ellen; Nicolo, Micah J; Raffi, Isabella; Lourens, Lucas Joost; McCarren, H; Kroon, Dick (2005): Rapid Acidification of the Ocean During the Paleocene-Eocene Thermal Maximum. Science, 308(5728), 1611-1615, https://doi.org/10.1126/science.1109004
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -27.185833 * LONGITUDE: 1.577000
	DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00
	MINIMUM DEPTH, sediment/rock: 107.490 m * MAXIMUM DEPTH, sediment/rock: 184.980 m
Event(s):	208-1262 * LATITUDE: -27.185833 * LONGITUDE: 1.577000 * DATE/TIME START: 2003-03-24T00:00:00 * DATE/TIME END: 2003-03-29T00:00:00 * ELEVATION: -4755.4 m * Penetration: 583.9 m * Recovery: 502.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 54 cores; 493.9 m cored; 90 m drilled; 101.7 % recovery
Comment:	DEPTH, sediment/rock = Depth (mcd).
	New data for this study was collected at MARUM ("Littler et al., 2014 (MARUM)"), and is combined with data from existing studies (see "data source" column) to give one continuous dataset. All values relative to VPDB.
	Age model is based on option 1 of Westerhold et al., 2008 (W08), extended in this study to encompass depths 103-113 mcd.
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	δ13C [‰ PDB] (δ13C) * PI: Littler, Kate (k.littler@exeter.ac.uk) * COMMENT: Bulk, relative to VPDB
	δ18O [‰] (δ18O) * PI: Littler, Kate (k.littler@exeter.ac.uk) * COMMENT: Bulk, relative to VPDB
	Reference/source (Reference) * PI: Littler, Kate (k.littler@exeter.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	8046 data points
*/
Depth sed [m]	Age [ka BP]	δ13C [‰ PDB]	δ18O [‰]	Reference
109.010	52747.765	1.120	-0.640	Zachos et al., 2010
109.040	52752.000	1.170	-0.580	Zachos et al., 2010
109.070	52756.333	1.230	-0.530	Zachos et al., 2010
109.100	52760.667	1.220	-0.540	Zachos et al., 2010
109.130	52765.000	1.110	-0.640	Zachos et al., 2010
109.160	52769.333	1.080	-0.690	Zachos et al., 2010
109.190	52773.667	1.090	-0.630	Zachos et al., 2010
109.220	52778.000	1.250	-0.490	Zachos et al., 2010
109.250	52782.333	1.250	-0.460	Zachos et al., 2010
109.280	52786.667	1.280	-0.440	Zachos et al., 2010
109.310	52791.000	1.210	-0.520	Zachos et al., 2010
109.340	52795.333	1.190	-0.530	Zachos et al., 2010
109.370	52799.667	1.170	-0.590	Zachos et al., 2010
109.400	52804.000	1.090	-0.670	Zachos et al., 2010
109.460	52812.667	0.920	-0.060	Zachos et al., 2010
109.490	52817.000	1.000	-0.640	Zachos et al., 2010
109.520	52821.333	1.170	-0.530	Zachos et al., 2010
109.550	52825.667	1.280	-0.350	Zachos et al., 2010
109.580	52830.000	1.260	-0.260	Zachos et al., 2010
109.610	52834.333	1.120	-0.450	Zachos et al., 2010
109.640	52838.667	1.120	-0.430	Zachos et al., 2010
109.670	52843.000	1.000	-0.760	Zachos et al., 2010
109.700	52847.333	0.970	-0.850	Zachos et al., 2010
109.730	52851.667	1.020	-0.870	Zachos et al., 2010
109.760	52856.000	1.100	-0.810	Zachos et al., 2010
109.790	52859.057	1.200	-0.730	Zachos et al., 2010
109.820	52862.114	1.130	-0.890	Zachos et al., 2010
109.850	52865.172	1.140	-0.690	Zachos et al., 2010
109.880	52868.229	1.070	-0.840	Zachos et al., 2010
109.910	52871.286	1.190	-0.810	Zachos et al., 2010
109.940	52874.343	1.260	-0.750	Zachos et al., 2010
109.970	52877.401	1.400	-0.620	Zachos et al., 2010
110.000	52880.458	1.400	-0.700	Zachos et al., 2010
110.030	52883.515	1.330	-0.600	Zachos et al., 2010
110.060	52886.572	1.360	-0.580	Zachos et al., 2010
110.090	52889.629	1.460	-0.590	Zachos et al., 2010
110.120	52892.687	1.390	-0.500	Zachos et al., 2010
110.150	52895.744	1.360	-0.570	Zachos et al., 2010
110.180	52898.801	1.310	-0.640	Zachos et al., 2010
110.210	52901.858	1.320	-0.710	Zachos et al., 2010
110.240	52904.916	1.420	-0.570	Zachos et al., 2010
110.270	52907.973	1.380	-0.540	Zachos et al., 2010
110.300	52911.030	1.470	-0.480	Zachos et al., 2010
110.330	52914.087	1.560	-0.430	Zachos et al., 2010
110.360	52917.144	1.540	-0.500	Zachos et al., 2010
110.390	52920.202	1.480	-0.510	Zachos et al., 2010
110.420	52923.259	1.460	-0.550	Zachos et al., 2010
110.450	52926.316	1.410	-0.580	Zachos et al., 2010
110.480	52929.373	1.370	-0.620	Zachos et al., 2010
110.510	52932.431	1.340	-0.630	Zachos et al., 2010
110.540	52935.488	1.320	-0.620	Zachos et al., 2010
110.570	52938.545	1.290	-0.650	Zachos et al., 2010
110.600	52941.602	1.270	-0.730	Zachos et al., 2010
110.630	52944.659	1.290	-0.730	Zachos et al., 2010
110.660	52947.717	1.300	-0.740	Zachos et al., 2010
110.690	52950.774	1.350	-0.650	Zachos et al., 2010
110.720	52953.831	1.460	-0.600	Zachos et al., 2010
110.750	52956.888	1.460	-0.610	Zachos et al., 2010
110.780	52959.946	1.430	-0.570	Zachos et al., 2010
110.810	52963.003	1.390	-0.700	Zachos et al., 2010
110.840	52966.060	1.320	-0.750	Zachos et al., 2010
110.870	52969.117	1.290	-0.770	Zachos et al., 2010
110.900	52972.174	1.380	-0.760	Zachos et al., 2010
110.930	52975.232	1.400	-0.710	Zachos et al., 2010
110.960	52978.289	1.470	-0.610	Zachos et al., 2010
110.990	52981.346	1.430	-0.590	Zachos et al., 2010
111.020	52984.403	1.480	-0.630	Zachos et al., 2010
111.050	52987.460	1.510	-0.500	Zachos et al., 2010
111.080	52990.518	1.500	-0.450	Zachos et al., 2010
111.110	52993.575	1.470	-0.490	Zachos et al., 2010
111.140	52996.632	1.440	-0.470	Zachos et al., 2010
111.170	52999.689	1.420	-0.530	Zachos et al., 2010
111.200	53002.747	1.430	-0.530	Zachos et al., 2010
111.260	53008.861	1.560	-0.680	Zachos et al., 2010
111.290	53011.918	1.600	-0.640	Zachos et al., 2010
111.320	53014.975	1.600	-0.650	Zachos et al., 2010
111.350	53018.033	1.400	-1.010	Zachos et al., 2010
111.380	53021.090	1.610	-0.700	Zachos et al., 2010
111.410	53024.147	1.620	-0.720	Zachos et al., 2010
111.440	53027.204	1.600	-0.690	Zachos et al., 2010
111.470	53030.262	1.590	-0.740	Zachos et al., 2010
111.500	53033.319	1.600	-0.770	Zachos et al., 2010
111.530	53036.376	1.490	-0.760	Zachos et al., 2010
111.560	53039.433	1.500	-0.800	Zachos et al., 2010
111.590	53042.490	1.500	-0.820	Zachos et al., 2010
111.620	53045.548	1.530	-0.760	Zachos et al., 2010
111.650	53048.605	1.550	-0.760	Zachos et al., 2010
111.680	53051.662	1.530	-0.800	Zachos et al., 2010
111.710	53054.719	1.540	-0.820	Zachos et al., 2010
111.740	53057.777	1.530	-0.830	Zachos et al., 2010
111.770	53060.834	1.520	-0.730	Zachos et al., 2010
111.800	53063.891	1.540	-0.690	Zachos et al., 2010
111.830	53066.948	1.570	-0.730	Zachos et al., 2010
111.860	53070.005	1.540	-0.750	Zachos et al., 2010
111.890	53073.063	1.460	-0.670	Zachos et al., 2010
111.920	53076.120	1.530	-0.730	Zachos et al., 2010
111.950	53079.177	1.480	-0.780	Zachos et al., 2010
111.980	53082.234	1.460	-0.790	Zachos et al., 2010
112.010	53085.292	1.260	-1.160	Zachos et al., 2010
112.040	53088.349	1.460	-0.850	Zachos et al., 2010
112.070	53091.406	1.460	-0.800	Zachos et al., 2010
112.100	53094.463	1.480	-0.830	Zachos et al., 2010
112.130	53097.520	1.500	-0.900	Zachos et al., 2010
112.160	53100.578	1.530	-0.400	Zachos et al., 2010
112.190	53103.635	1.530	-0.390	Zachos et al., 2010
112.220	53106.692	1.540	-0.370	Zachos et al., 2010
112.250	53109.749	1.510	-0.470	Zachos et al., 2010
112.280	53112.807	1.430	-0.400	Zachos et al., 2010
112.310	53115.864	1.370	-0.400	Zachos et al., 2010
112.320	53116.883	1.220	-0.400	Zachos et al., 2010
112.340	53118.921	1.320	-0.470	Zachos et al., 2010
112.350	53119.940	1.180	-0.450	Zachos et al., 2010
112.370	53121.978	1.300	-0.550	Zachos et al., 2010
112.380	53122.997	1.100	-0.640	Zachos et al., 2010
112.400	53125.035	1.100	-0.850	Zachos et al., 2010
112.410	53126.054	1.110	-0.630	Zachos et al., 2010
112.430	53128.093	1.110	-0.700	Zachos et al., 2010
112.440	53129.112	0.960	-0.770	Zachos et al., 2010
112.460	53131.150	1.080	-0.830	Zachos et al., 2010
112.470	53132.169	0.950	-0.830	Zachos et al., 2010
112.490	53134.207	1.110	-0.770	Zachos et al., 2010
112.500	53135.226	1.160	-0.620	Zachos et al., 2010
112.520	53137.264	1.380	-0.540	Zachos et al., 2010
112.530	53138.283	1.220	-0.400	Zachos et al., 2010
112.560	53141.341	1.290	-0.320	Zachos et al., 2010
112.590	53144.398	1.210	-0.470	Zachos et al., 2010
112.620	53147.455	1.170	-0.540	Zachos et al., 2010
112.650	53150.512	1.170	-0.540	Zachos et al., 2010
112.680	53153.569	1.180	-0.730	Zachos et al., 2010
112.710	53156.627	1.250	-0.480	Zachos et al., 2010
112.740	53159.684	1.290	-0.550	Zachos et al., 2010
112.770	53162.741	1.340	-0.530	Zachos et al., 2010
112.800	53165.798	1.430	-0.350	Zachos et al., 2010
112.830	53168.856	1.490	-0.330	Zachos et al., 2010
112.860	53171.913	1.560	-0.300	Zachos et al., 2010
112.890	53174.970	1.560	-0.250	Zachos et al., 2010
112.920	53178.027	1.500	-0.230	Zachos et al., 2010
112.950	53181.084	1.510	-0.290	Zachos et al., 2010
112.980	53184.142	1.470	-0.260	Zachos et al., 2010
113.010	53187.199	1.440	-0.280	Zachos et al., 2010
113.040	53190.256	1.360	-0.470	Zachos et al., 2010
113.070	53193.313	1.490	-0.250	Zachos et al., 2010
113.100	53196.371	1.440	-0.220	Zachos et al., 2010
113.130	53199.428	1.450	-0.290	Zachos et al., 2010
113.160	53202.485	1.430	-0.260	Zachos et al., 2010
113.190	53205.542	1.430	-0.110	Zachos et al., 2010
113.220	53208.599	1.310	-0.280	Zachos et al., 2010
113.250	53211.657	1.320	-0.350	Zachos et al., 2010
113.310	53217.771	1.150	-0.450	Zachos et al., 2010
113.340	53220.828	1.030	-0.700	Zachos et al., 2010
113.370	53223.886	0.930	-0.830	Zachos et al., 2010
113.400	53226.943	0.840	-0.920	Zachos et al., 2010
113.430	53230.000	0.850	-0.810	Zachos et al., 2010
113.460	53234.160	1.150	-0.650	Zachos et al., 2010
113.490	53238.320	0.930	-0.730	Zachos et al., 2010
113.520	53242.480	1.080	-0.690	Zachos et al., 2010
113.550	53246.639	1.120	-0.660	Zachos et al., 2010
113.580	53250.799	1.230	-0.730	Zachos et al., 2010
113.610	53254.959	1.410	-0.460	Zachos et al., 2010
113.640	53259.119	1.410	-0.410	Zachos et al., 2010
113.670	53263.279	1.500	-0.470	Zachos et al., 2010
113.700	53267.439	1.560	-0.440	Zachos et al., 2010
113.730	53271.599	1.530	-0.410	Zachos et al., 2010
113.760	53275.758	1.540	-0.450	Zachos et al., 2010
113.790	53279.918	1.590	-0.320	Zachos et al., 2010
113.820	53284.078	1.540	-0.290	Zachos et al., 2010
113.850	53288.238	1.520	-0.310	Zachos et al., 2010
113.880	53292.398	1.510	-0.360	Zachos et al., 2010
113.910	53296.558	1.470	-0.440	Zachos et al., 2010
113.940	53300.717	1.520	-0.370	Zachos et al., 2010
113.970	53304.877	1.520	-0.460	Zachos et al., 2010
114.000	53309.037	1.570	-0.340	Zachos et al., 2010
114.030	53313.197	1.540	-0.420	Zachos et al., 2010
114.060	53317.357	1.590	-0.370	Zachos et al., 2010
114.090	53321.517	1.590	-0.370	Zachos et al., 2010
114.120	53325.677	1.590	-0.410	Zachos et al., 2010
114.150	53329.836	1.540	-0.430	Zachos et al., 2010
114.180	53333.996	1.480	-0.470	Zachos et al., 2010
114.210	53338.156	1.450	-0.490	Zachos et al., 2010
114.240	53342.316	1.480	-0.440	Zachos et al., 2010
114.270	53346.476	1.520	-0.380	Zachos et al., 2010
114.300	53350.636	1.520	-0.400	Zachos et al., 2010
114.330	53354.796	1.500	-0.470	Zachos et al., 2010
114.360	53358.955	1.430	-0.580	Zachos et al., 2010
114.390	53363.115	1.400	-0.580	Zachos et al., 2010
114.420	53367.275	1.420	-0.660	Zachos et al., 2010
114.450	53371.435	1.450	-0.570	Zachos et al., 2010
114.480	53375.595	1.590	-0.390	Zachos et al., 2010
114.510	53379.755	1.570	-0.400	Zachos et al., 2010
114.540	53383.914	1.630	-0.350	Zachos et al., 2010
114.570	53388.074	1.580	-0.390	Zachos et al., 2010
114.600	53392.234	1.560	-0.390	Zachos et al., 2010
114.630	53396.394	1.590	-0.360	Zachos et al., 2010
114.660	53400.554	1.570	-0.290	Zachos et al., 2010
114.690	53404.714	1.570	-0.200	Zachos et al., 2010
114.720	53408.874	1.580	-0.270	Zachos et al., 2010
114.750	53413.033	1.570	-0.270	Zachos et al., 2010
114.780	53417.193	1.530	-0.340	Zachos et al., 2010
114.810	53421.353	1.550	-0.350	Zachos et al., 2010
114.840	53425.513	1.450	-0.390	Zachos et al., 2010
114.870	53429.673	1.460	-0.400	Zachos et al., 2010
114.900	53433.833	1.550	-0.380	Zachos et al., 2010
114.930	53437.993	1.660	-0.230	Zachos et al., 2010
114.960	53442.152	1.590	-0.260	Zachos et al., 2010
114.990	53446.312	1.560	-0.360	Zachos et al., 2010
115.020	53450.472	1.520	-0.260	Zachos et al., 2010
115.050	53454.632	1.530	-0.310	Zachos et al., 2010
115.080	53458.792	1.520	-0.410	Zachos et al., 2010
115.110	53462.952	1.580	-0.330	Zachos et al., 2010
115.140	53467.112	1.480	-0.410	Zachos et al., 2010
115.170	53471.271	1.450	-0.500	Zachos et al., 2010
115.200	53475.431	1.450	-0.480	Zachos et al., 2010
115.230	53479.591	1.400	-0.540	Zachos et al., 2010
115.260	53483.751	1.420	-0.570	Zachos et al., 2010
115.290	53487.911	1.600	-0.260	Zachos et al., 2010
115.320	53492.071	1.670	-0.070	Zachos et al., 2010
115.350	53496.230	1.620	-0.300	Zachos et al., 2010
115.380	53500.390	1.590	-0.330	Zachos et al., 2010
115.410	53504.550	1.540	-0.370	Zachos et al., 2010
115.440	53508.710	1.470	-0.460	Zachos et al., 2010
115.470	53512.870	1.550	-0.410	Zachos et al., 2010
115.500	53517.030	1.610	-0.190	Zachos et al., 2010
115.590	53529.509	1.530	-0.330	Zachos et al., 2010
115.650	53537.829	1.440	-0.360	Zachos et al., 2010
115.710	53546.149	1.430	-0.380	Zachos et al., 2010
115.740	53550.309	1.460	-0.290	Zachos et al., 2010
115.770	53554.468	1.460	-0.310	Zachos et al., 2010
115.800	53558.628	1.470	-0.330	Zachos et al., 2010
115.830	53562.788	1.480	-0.420	Zachos et al., 2010
115.860	53566.948	1.570	-0.370	Zachos et al., 2010
115.890	53571.108	1.590	-0.460	Zachos et al., 2010
115.920	53575.268	1.650	-0.370	Zachos et al., 2010
115.950	53579.428	1.450	-0.380	Zachos et al., 2010
115.980	53583.587	1.420	-0.320	Zachos et al., 2010
116.010	53587.747	1.400	-0.320	Zachos et al., 2010
116.040	53591.907	1.270	-0.430	Zachos et al., 2010
116.070	53596.067	1.280	-0.420	Zachos et al., 2010
116.100	53600.227	1.170	-0.620	Zachos et al., 2010
116.130	53604.049	1.040	-0.860	Zachos et al., 2010
116.160	53607.195	1.140	-0.790	Zachos et al., 2010
116.190	53610.341	0.970	-0.970	Zachos et al., 2010
116.220	53613.488	0.880	-0.930	Zachos et al., 2010
116.250	53616.634	0.930	-0.940	Zachos et al., 2010
116.310	53622.927	1.130	-0.850	Zachos et al., 2010
116.340	53626.073	1.170	-0.660	Zachos et al., 2010
116.370	53629.220	1.120	-0.820	Zachos et al., 2010
116.400	53632.366	1.310	-0.730	Zachos et al., 2010
116.430	53635.512	1.340	-0.700	Zachos et al., 2010
116.460	53638.659	1.460	-0.360	Zachos et al., 2010
116.490	53641.805	1.460	-0.400	Zachos et al., 2010
116.520	53644.951	1.430	-0.310	Zachos et al., 2010
116.550	53648.000	1.320	-0.510	Zachos et al., 2010
116.580	53651.000	1.400	-0.370	Zachos et al., 2010
116.610	53654.000	1.330	-0.520	Zachos et al., 2010
116.640	53657.000	1.350	-0.460	Zachos et al., 2010
116.660	53659.000	1.380	-0.500	Lourens et al., 2005
116.670	53660.000	1.400	-0.500	Lourens et al., 2005
116.680	53661.000	1.370	-0.450	Lourens et al., 2005
116.690	53662.000	1.430	-0.490	Lourens et al., 2005
116.700	53663.000	1.440	-0.470	Lourens et al., 2005
116.710	53664.000	1.470	-0.440	Lourens et al., 2005
116.720	53665.000	1.400	-0.480	Lourens et al., 2005
116.730	53666.000	1.430	-0.430	Lourens et al., 2005
116.740	53667.000	1.440	-0.420	Lourens et al., 2005
116.750	53668.000	1.450	-0.400	Lourens et al., 2005
116.760	53669.000	1.470	-0.380	Lourens et al., 2005
116.770	53670.000	1.440	-0.460	Lourens et al., 2005
116.780	53671.000	1.440	-0.450	Lourens et al., 2005
116.790	53672.000	1.450	-0.370	Lourens et al., 2005
116.800	53673.000	1.430	-0.370	Lourens et al., 2005
116.810	53674.000	1.370	-0.510	Lourens et al., 2005
116.820	53675.000	1.410	-0.230	Lourens et al., 2005
116.830	53676.000	1.410	-0.360	Lourens et al., 2005
116.840	53677.000	1.410	-0.350	Lourens et al., 2005
116.850	53678.000	1.410	-0.410	Lourens et al., 2005
116.860	53679.000	1.390	-0.370	Lourens et al., 2005
116.870	53680.000	1.360	-0.370	Lourens et al., 2005
116.880	53681.000	1.350	-0.410	Lourens et al., 2005
116.890	53682.000	1.300	-0.380	Lourens et al., 2005
116.900	53683.000	1.290	-0.390	Lourens et al., 2005
116.910	53684.000	1.270	-0.430	Lourens et al., 2005
116.920	53685.000	1.280	-0.410	Lourens et al., 2005
116.930	53686.000	1.260	-0.390	Lourens et al., 2005
116.940	53687.000	1.230	-0.430	Lourens et al., 2005
116.950	53688.000	1.190	-0.470	Lourens et al., 2005
116.960	53689.000	1.210	-0.470	Lourens et al., 2005
116.970	53690.000	1.180	-0.470	Lourens et al., 2005
116.980	53691.000	1.120	-0.560	Lourens et al., 2005
116.990	53692.000	1.080	-0.500	Lourens et al., 2005
